file,face_ratio,center_score,aspect,bucket
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _11_.png,0.02275,0.409,0.567,BODY_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _15_.png,0.02192,0.387,0.567,BODY_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _19_.png,0.03137,0.607,0.567,BODY_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _7_.png,0.02666,0.418,0.567,BODY_LOCK_V1
Gen-4 Turbo - SAME EXACT WOMAN FROM REFERENCE IMAGES_ REFERENCE IMAGES ARE ABSOLUTE GROUND TRUTH_ ZE _9_.png,0.02402,0.401,0.567,BODY_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same age_ facial _2_.png,0.29199,0.683,0.567,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same age_ facial.png,0.31486,0.713,0.567,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same face_ age_ f _1_.png,0.23524,0.633,0.567,FACE_LOCK_V1
Gen-4 Turbo - Same EXACT woman from reference_ HARD IDENTITY LOCK_Preserve EXACTLY same face_ age_ f _3_.png,0.2461,0.697,0.567,FACE_LOCK_V1
h.png,0.01449,0.352,0.567,BODY_LOCK_V1
images_04.jpg,0.00289,0.623,0.431,BODY_LOCK_V1
